"sample_names","Sample ID","Number of Spots Under Tissue","Number of Reads","Mean Reads per Spot","Mean Reads Under Tissue per Spot","Fraction of Spots Under Tissue","Median Genes per Spot","Median UMI Counts per Spot","Valid Barcodes","Valid UMIs","Sequencing Saturation","Q30 Bases in Barcode","Q30 Bases in RNA Read","Q30 Bases in UMI","Reads Mapped to Genome","Reads Mapped Confidently to Genome","Reads Mapped Confidently to Intergenic Regions","Reads Mapped Confidently to Intronic Regions","Reads Mapped Confidently to Exonic Regions","Reads Mapped Confidently to Transcriptome","Reads Mapped Antisense to Gene","Fraction Reads in Spots Under Tissue","Total Genes Detected"
"1","10X001","AKK006_II_healthycontrol_V19T05022_rep2",4279,602166415,140725.967515775,131332.467165226,0.857171474358974,1762,5373,0.9687192634282,0.999057160967704,0.93847491713212,0.956411190800126,0.939593339964267,0.956222538002289,0.934240028979364,0.890403165377465,0.0922001603161478,0.076133256285972,0.722069748775345,0.69802950069874,0.0115521703414828,0.968142967236011,22519
"2","10X0017","AKK002_Infarct_MI_acute_V19T05025_rep2",3778,499151233,132120.495764955,123059.179460032,0.756810897435897,2043,4155.5,0.970528883778196,0.997516472126996,0.91369147491515,0.956853890335437,0.939544878467365,0.957220077349074,0.889554665289187,0.83046887114471,0.127304407560183,0.0312861212545577,0.671878342329969,0.653662498315415,0.00838563890715662,0.968374304774359,22042
"3","10X0018","AKK003_No9II_infarct_V19T05023_rep2",4278,568797537,132958.751051893,126048.574801309,0.856971153846154,1120.5,2690,0.970851341784203,0.998423639446948,0.934033949614684,0.958209460173888,0.940910999248666,0.958606801866562,0.937917097555927,0.903301393866619,0.0409651984832698,0.0198901546931277,0.842446040690222,0.820130420149833,0.0100385139325946,0.981780214354425,22578
"4","10X0020","AKK002_Normal_MI_acute_V19T05026_rep1",2995,469665707,156816.596661102,138958.159265442,0.599959935897436,3171,12539,0.973086772545648,0.999345956080204,0.877310019872538,0.958590184588642,0.944629630024705,0.958707024363011,0.944656116866544,0.90439865135821,0.0924931826031744,0.0296269129140399,0.782278555840995,0.760217309202011,0.00955109758524482,0.916310147025081,22582
"5","10X0025","AKK003_No4_borderzone_V19T05023_rep2",3377,529178595,156700.798045603,145308.302635475,0.676482371794872,2412,10151,0.972492071414944,0.999602618091535,0.90786280583997,0.959584733359096,0.940632045283588,0.959160264930648,0.959505922570432,0.922341259853868,0.0680873609409693,0.0295058363046601,0.824748062608239,0.798606094413173,0.0128580011820017,0.957237537511375,22417
"6","10X0026","AKK002_Borderzone_MI_acute_V19T05025_rep2",4662,444691743,95386.4742599743,91289.0821535822,0.933894230769231,2977,11269,0.971495992000013,0.999373374917825,0.840847137398625,0.958760428994925,0.941435296867953,0.958743716350201,0.957525352567655,0.921064133632902,0.0776739855050558,0.0288124306369233,0.814577717490923,0.791683734950752,0.0112381488495504,0.986332748211194,23109
"7","10X0027","AKK001_No2_Fibrotic_chronic_late_V19T05026_rep2",3086,479823494,155483.957874271,137239.629941672,0.618189102564103,2091.5,6554.5,0.971954247409152,0.999193361715631,0.926539590984238,0.956869453465483,0.944257625781986,0.956763766811202,0.93087133828424,0.867676898288769,0.0901731939787008,0.0469235485163634,0.730580155793705,0.708418427297768,0.0099962445773862,0.921478564825356,22159
"8","10X009","AKK004_wo2_postMI_chronic_V19T05022_rep1",4534,458031025,101021.399426555,92598.3400970446,0.908253205128205,685,3231,0.974244373511598,0.99911452504773,0.929010172270932,0.959575920737904,0.94465536971311,0.959338657572122,0.920771434642446,0.738502903815304,0.14086370022642,0.0215381523555091,0.576101051233374,0.55907992695473,0.00838811519372514,0.957667569015315,21309
"9","ACH0010","Visium_11_CK289",2960,240715834,81322.9168918919,71969.6641891892,0.592948717948718,1084.5,1875,0.973762814456152,0.999585058455274,0.945940797035218,0.950385776533327,0.918715287899197,0.945603228978774,0.895803730136008,0.8541595190618,0.0156844937753451,0.0396905631060398,0.798784462180415,0.782749571845781,0.00662687606998051,0.913468232311319,20302
"10","ACH0011","Visium_18_CK296",3580,208251086,58170.6944134078,54589.8276536313,0.717147435897436,3624.5,11864.5,0.966073785564796,0.999780610988026,0.750830512417244,0.951635720572154,0.926367711046024,0.947524989575405,0.971303381342271,0.94560360660016,0.0358499210899673,0.0263211688605552,0.883432516649637,0.863916503177323,0.00866380115780045,0.972468488927744,23477
"11","ACH0012","Visium_9_CK287",4451,303166309,68111.9543922714,65526.0993035273,0.891626602564103,2067,5401,0.974226100433871,0.999571918131576,0.887826651369069,0.9481104342154,0.92636735353383,0.941369449082034,0.929655131962569,0.87802206280118,0.0483968850245823,0.0276195466033793,0.802005631173219,0.779107136868563,0.0105653131793085,0.988325976927824,22429
